loc_rowid,pl_hostname,pl_letter,pl_orbper,pl_orbeccen
337,HD 12484,b,58.83,0.07
338,HD 125595,b,9.6737,0
339,HD 125612,b,559.40485,0.46
340,HD 125612,c,4.1547,0.27
341,HD 125612,d,3008,0.28
342,HD 12648,b,133.60001,0.04
343,HD 12661,b,262.70862,0.38
344,HD 12661,c,1708,0.031
345,HD 126614,b,1244,0.41
346,HD 128311,b,453.019,0.303
347,HD 128311,c,921.538,0.159
348,HD 128356,b,298.2,0.57
349,HD 129445,b,1840,0.7
350,HD 130322,b,10.70871,0.029
351,HD 131496,b,883,0.16
352,HD 131664,b,1951,0.64
353,HD 13189,b,471.60001,0.27
354,HD 132406,b,974,0.34
355,HD 132563,b,1544,0.22
356,HD 133131 A,b,649,0.33
357,HD 133131 A,c,3568,0.49
358,HD 133131 B,b,5769,0.61
359,HD 134987,b,258.17999,0.23
360,HD 134987,c,5000,0.12
361,HD 136418,b,464.29999,0.25
362,HD 137388 A,b,330,0.36
363,HD 13908,b,19.382,0.02
364,HD 13908,c,931,0.12
365,HD 13931,b,4218,0.02
366,HD 139357,b,1125.7,0.1
367,HD 14067,b,1455,0.533
368,HD 141399,b,94.44,0.04
369,HD 141399,c,201.99,0.048
370,HD 141399,d,1069.8,0.074
371,HD 141399,e,5000,0.26
372,HD 141937,b,653.21997,0.41
373,HD 142,b,349.7,0.17
374,HD 142,c,6005,0.21
375,HD 142022 A,b,1928,0.53
376,HD 142245,b,1299,0
377,HD 142415,b,386.29999,0.5
378,HD 143105,b,2.1974,0.07
379,HD 143361,b,1046.2,0.193
380,HD 145377,b,103.95,0.31
381,HD 145457,b,176.3,0.11
382,HD 145934,b,2730,0.053
383,HD 1461,b,5.77152,0.172
384,HD 1461,c,13.5052,0.305
385,HD 147018,b,44.236,0.4686
386,HD 147018,c,1008,0.133
387,HD 147379,b,86.54,0.01
388,HD 147513,b,528.4,0.26
389,HD 147873,b,116.596,0.207
390,HD 147873,c,491.54,0.23
391,HD 148156,b,1027,0.52
392,HD 148427,b,331.5,0.16
393,HD 149026,b,2.87589,0
394,HD 149143,b,4.072,0.02
395,HD 1502,b,431.8,0.101
396,HD 150706,b,5894,0.38
397,HD 152079,b,2899,0.52
398,HD 152581,b,689,0
399,HD 153950,b,499.39999,0.34
400,HD 154345,b,3341.55884,0.04
401,HD 154672,b,163.94,0.61
402,HD 154857,b,408.60001,0.46
403,HD 154857,c,3452,0.06
404,HD 155233,b,818.8,0.04
405,HD 155358,b,194.3,0.17
406,HD 155358,c,391.9,0.16
407,HD 156279,b,131.05,0.71
408,HD 156411,b,842.2,0.22
409,HD 156668,b,4.6455,0
410,HD 156846,b,359.51001,0.85
411,HD 158038,b,521,0.29
412,HD 158996,b,820.2,0.13
413,HD 159243,b,12.62,0.02
414,HD 159243,c,248.4,0.075
415,HD 159868,b,1178.40002,0.01
416,HD 159868,c,352.3,0.15
417,HD 1605,b,577.90002,0.08
418,HD 1605,c,2111,0.098
419,HD 160691,b,643.25,0.128
420,HD 160691,c,4205.8,0.0985
421,HD 160691,d,9.6386,0.172
422,HD 160691,e,310.55,0.0666
423,HD 16141,b,75.523,0.25
424,HD 16175,b,990,0.6
425,HD 162020,b,8.4282,0.28
426,HD 163607,b,75.29,0.73
427,HD 163607,c,1314,0.12
428,HD 16417,b,17.24,0.2
429,HD 164509,b,282.4,0.26
430,HD 164595,b,40,0.088
431,HD 164604,b,606.4,0.24
432,HD 164922,b,1155,0.05
433,HD 164922,c,75.765,0.22
434,HD 165155,b,434.5,0.2
435,HD 1666,b,270,0.63
436,HD 166724,b,5144,0.734
437,HD 167042,b,420.77,0.089
438,HD 168443,b,58.11247,0.52883
439,HD 168443,c,1749.83,0.2113
440,HD 168746,b,6.404,0.11
441,HD 1690,b,533,0.64
442,HD 169830,b,225.62,0.31
443,HD 169830,c,2102,0.33
444,HD 170469,b,1145,0.11
445,HD 17092,b,359.89999,0.17
446,HD 171028,b,550,0.59
447,HD 171238,b,1523,0.4
448,HD 17156,b,21.21663,0.68
449,HD 173416,b,323.6,0.21
450,HD 175167,b,1290,0.54
451,HD 175541,b,297.29999,0.33
452,HD 175607,b,29.01,0.11
453,HD 17674,b,623.8,0.13
454,HD 176986,b,6.4898,0.066
455,HD 176986,c,16.8191,0.111
456,HD 177565,b,44.505,0.0593
457,HD 177830,b,410.10001,0.1
458,HD 177830,c,110.9,0.3
459,HD 178911 B,b,71.484,0.11
460,HD 179079,b,14.476,0.12
461,HD 179949,b,3.092514,0.022
462,HD 180314,b,396.03,0.26
463,HD 180902,b,479,0.09
464,HD 181342,b,663,0.18
465,HD 181433,b,9.3743,0.4
466,HD 181433,c,962,0.28
467,HD 181433,d,2172,0.48
468,HD 181720,b,956,0.26
469,HD 183263,b,626.51599,0.36
470,HD 183263,c,3070,0.239
471,HD 185269,b,6.83785,0.3
472,HD 187085,b,986,0.47
473,HD 187123,b,3.0965828,0.0103
474,HD 187123,c,3810,0.252
475,HD 18742,b,772,0.12
476,HD 188015,b,461.2,0.137
477,HD 189733,b,2.21858,0
478,HD 190360,b,2915.03687,0.31
479,HD 190360,c,17.111,0.237
480,HD 190647,b,1038.09998,0.18
481,HD 190984,b,4885,0.57
482,HD 191806,b,1606.3,0.259
483,HD 192263,b,24.3556,0.05
484,HD 192310,b,74.72,0.13
485,HD 192310,c,525.8,0.32
486,HD 192699,b,345.53,0.13
487,HD 195019,b,18.20132,0.01
488,HD 196050,b,1378,0.23
489,HD 196067,b,3638,0.66
490,HD 196885,b,1333,0.48
491,HD 197037,b,1035.7,0.22
492,HD 19994,b,466.2,0.063
493,HD 200964,b,613.79999,0.04
494,HD 200964,c,825,0.181
495,HD 202206,c,1260,0.22
497,HD 2039,b,1120,0.71
498,HD 204313,b,1920.09998,0.23
499,HD 204313,c,34.905,0.155
500,HD 204941,b,1733,0.37
501,HD 205739,b,279.8,0.27
502,HD 206610,b,610,0.23
503,HD 20782,b,591.90002,0.97
504,HD 207832,b,161.97,0.13
505,HD 207832,c,1155.7,0.27
506,HD 20794,b,18.315,0
507,HD 20794,c,40.114,0
508,HD 20794,d,90.309,0
509,HD 20794,e,147.02,0.29
510,HD 208487,b,130.08,0.24
511,HD 208527,b,875.5,0.08
512,HD 20868,b,380.85001,0.75
513,HD 208897,b,352.7,0.07
514,HD 209458,b,3.52475,0
515,HD 210277,b,442.19,0.48
516,HD 210702,b,354.8,0.094
517,HD 212301,b,2.24571,0
518,HD 212771,b,373.29999,0.11
519,HD 213240,b,882.70001,0.42
520,HD 214823,b,1877,0.154
521,HD 215152,b,5.75999,0
522,HD 215152,c,7.28243,0
523,HD 215152,d,10.86499,0
524,HD 215152,e,25.1967,0
525,HD 215497,b,3.93404,0.16
526,HD 215497,c,567.94,0.49
527,HD 216435,b,1311,0.07
528,HD 216437,b,1256,0.29
529,HD 216536,b,148.60001,0.38
530,HD 216770,b,118.45,0.37
531,HD 217107,b,7.12682,0.13
532,HD 217107,c,4270,0.517
533,HD 217786,b,1319,0.4
534,HD 218566,b,225.7,0.3
535,HD 219077,b,5501,0.77
536,HD 219134,b,3.092926,0
537,HD 219134,c,6.76458,0.062
538,HD 219134,d,46.859,0.138
539,HD 219134,f,22.717,0.148
540,HD 219134,g,94.2,0
541,HD 219134,h,2247,0.06
542,HD 219415,b,2093.3,0.4
543,HD 219828,b,3.8335,0
544,HD 219828,c,4791,0.8115
545,HD 220074,b,672.09998,0.14
546,HD 220689,b,2209,0.16
547,HD 220773,b,3724.7,0.51
548,HD 220842,b,218.47,0.404
549,HD 221287,b,456.1,0.08
550,HD 221585,b,1173,0.123
551,HD 222076,b,871,0.08
552,HD 222155,b,3999,0.16
553,HD 222582,b,572.38,0.73
554,HD 224538,b,1189.1,0.464
555,HD 224693,b,26.73,0.05
556,HD 22781,b,528.07,0.8191
557,HD 23079,b,730.59998,0.1
558,HD 23127,b,1214,0.44
559,HD 231701,b,141.60001,0.1
560,HD 233604,b,192,0.05
561,HD 23596,b,1561,0.27
562,HD 238914,b,4100,0.56
563,HD 240210,b,501.75,0.15
564,HD 240237,b,745.70001,0.4
565,HD 24040,b,3668,0.04
566,HD 24064,b,535.59998,0.35
567,HD 25171,b,1845,0.08
568,HD 2638,b,3.4442,0
569,HD 27442,b,428.1,0.06
570,HD 27631,b,2208,0.12
571,HD 27894,b,18.02,0.047
572,HD 27894,c,36.07,0.015
573,HD 27894,d,5174,0.389
574,HD 28185,b,379,0.05
575,HD 28254,b,1116,0.81
576,HD 285507,b,6.0881,0.09
577,HD 285968,b,8.7836,0
578,HD 28678,b,387.10001,0.17
579,HD 29021,b,1362.3,0.459
580,HD 290327,b,2443,0.08
581,HD 2952,b,311.60001,0.13
582,HD 30177,b,2770,0.19
583,HD 30177,c,11613,0.22
584,HD 30562,b,1157,0.76
585,HD 30669,b,1684,0.18
586,HD 30856,b,912,0.12
587,HD 31253,b,466,0.3
588,HD 3167,b,0.959641,0
589,HD 3167,c,29.8454,0.267
590,HD 3167,d,8.509,0.36
591,HD 32518,b,157.54,0.01
592,HD 32963,b,2372,0.07
593,HD 330075,b,3.38773,0
594,HD 33142,b,326.60001,0.12
595,HD 33283,b,18.179,0.48
596,HD 33564,b,388,0.34
597,HD 33844,b,551.40002,0.15
598,HD 33844,c,916,0.13
599,HD 34445,b,1049,0.27
600,HD 34445,c,214.67,0.036
601,HD 34445,d,117.87,0.027
602,HD 34445,e,49.175,0.09
603,HD 34445,f,676.8,0.031
604,HD 34445,g,5700,0.032
605,HD 35759,b,82.467,0.389
606,HD 3651,b,62.218,0.596
607,HD 37124,b,154.378,0.054
608,HD 37124,c,885.5,0.125
609,HD 37124,d,1862,0.16
610,HD 37605,b,55.01307,0.68
611,HD 37605,c,2720,0.013
612,HD 38283,b,363.20001,0.41
613,HD 38529,b,14.3098,0.257
614,HD 38529,c,2140.2,0.341
615,HD 38801,b,696.29999,0
616,HD 39091,b,2151,0.6405
617,HD 40307,b,4.3123,0.2
618,HD 40307,c,9.6184,0.06
619,HD 40307,d,20.432,0.07
620,HD 40307,f,51.76,0.02
621,HD 40307,g,197.8,0.29
622,HD 40956,b,578.6,0.24
623,HD 40979,b,264.14999,0.25
624,HD 41004 A,b,963,0.74
625,HD 41004 B,b,1.3283,0.081
626,HD 4113,b,526.62,0.903
627,HD 42012,b,857.5,0.2
628,HD 4203,b,431.88,0.52
629,HD 4203,c,6700,0.24
630,HD 4208,b,828,0.05
631,HD 42618,b,149.61,0.19
632,HD 4308,b,15.56,0
633,HD 4313,b,356,0.04
634,HD 43197,b,327.8,0.83
635,HD 43691,b,36.96,0.14
636,HD 44219,b,472.3,0.61
637,HD 45350,b,963.6,0.778
638,HD 45364,b,226.93,0.1684
639,HD 45364,c,342.85,0.0974
640,HD 45652,b,43.6,0.38
641,HD 46375,b,3.023573,0.063
642,HD 47186,b,4.0845,0.04
643,HD 47186,c,1353.6,0.249
644,HD 4732,b,360.2,0.13
645,HD 4732,c,2732,0.23
646,HD 47366,b,363.3,0.089
647,HD 47366,c,684.7,0.278
648,HD 47536,b,712.13,0.2
649,HD 48265,b,780.3,0.08
650,HD 49674,b,4.94737,0.09
651,HD 50499,b,2482.7,0.23
652,HD 50554,b,1293,0.501
653,HD 52265,b,119.29,0.32
654,HD 5319,b,641,0.02
655,HD 5319,c,886,0.15
656,HD 5583,b,139.35,0.076
657,HD 5608,b,792.59998,0.19
658,HD 564,b,492.3,0.096
659,HD 5891,b,177.11,0.07
660,HD 59686 A,b,299.36,0.05
661,HD 60532,b,201.9,0.26
662,HD 60532,c,600.1,0.03
663,HD 62509,b,589.64,0.02
664,HD 63454,b,2.81805,0
665,HD 63765,b,358,0.24
666,HD 6434,b,21.998,0.17
667,HD 65216,b,613.09998,0.41
668,HD 65216,c,152.6,0.02
669,HD 66141,b,480.5,0.07
670,HD 66428,b,1973,0.47
671,HD 67087,b,352.2,0.17
672,HD 67087,c,2374,0.76
673,HD 6718,b,2496,0.1
674,HD 68402,b,1103,0.03
675,HD 68988,b,6.27711,0.12
676,HD 69830,b,8.667,0.1
677,HD 69830,c,31.56,0.13
678,HD 69830,d,197,0.07
679,HD 70573,b,851.8,0.4
680,HD 70642,b,2068,0.03
681,HD 7199,b,615,0.19
682,HD 72659,b,3658,0.22
683,HD 72892,b,39.475,0.423
684,HD 73256,b,2.54858,0.03
685,HD 73267,b,1260,0.256
686,HD 73526,b,188.3,0.19
687,HD 73526,c,379.1,0.28
688,HD 73534,b,1770,0.07
689,HD 74156,b,51.645,0.627
690,HD 74156,c,2473,0.432
691,HD 7449,b,1275,0.82
692,HD 75289,b,3.50927,0.03
693,HD 75784,b,5040,0.36
694,HD 75898,b,418.20001,0.1
695,HD 76700,b,3.97097,0.09
696,HD 76920,b,415.4,0.856
697,HD 77338,b,5.7361,0.09
698,HD 7924,b,5.39792,0.06
699,HD 7924,c,15.299,0.098
700,HD 7924,d,24.451,0.21
701,HD 79498,b,1966.1,0.59
702,HD 80606,b,111.4367,0.93
703,HD 81040,b,1001.70001,0.53
704,HD 81688,b,184.02,0
705,HD 82886,b,705,0.07
706,HD 82943,b,441.47,0.162
707,HD 82943,c,220.078,0.3663
708,HD 83443,b,2.9857,0.01
709,HD 8535,b,1313,0.15
710,HD 85390,b,788,0.41
711,HD 85512,b,58.43,0.11
712,HD 8574,b,227,0.3
713,HD 86081,b,2.1375,0.01
714,HD 86226,b,1695,0.15
715,HD 86264,b,1475,0.7
716,HD 8673,b,1634,0.723
717,HD 86950,b,1270,0.17
718,HD 87646,b,13.481,0.05
719,HD 87883,b,2754,0.53
720,HD 88133,b,3.41587,0.13
721,HD 89307,b,2166,0.2
722,HD 89345,b,11.81399,0.203
723,HD 89744,b,256.78,0.673
724,HD 90156,b,49.77,0.31
725,HD 9174,b,1179,0.12
726,HD 92788,b,325.81,0.33
727,HD 93083,b,143.58,0.14
728,HD 9446,b,30.052,0.2
729,HD 9446,c,192.9,0.06
731,HD 95089,b,507,0.157
732,HD 95127,b,482,0.11
733,HD 95872,b,4375,0.06
734,HD 96063,b,361.1,0.03
735,HD 96127,b,647.29999,0.3
736,HD 96167,b,498.89999,0.71
737,HD 97658,b,9.4909,0.06
738,HD 98219,b,436.89999,0
739,HD 98649,b,4951,0.85
740,HD 99109,b,439.29999,0.09
741,HD 99492,b,17.0431,0.25
742,HD 99706,b,868,0.37
743,HIP 105854,b,184.2,0.02
744,HIP 107773,b,144.3,0.09
745,HIP 109384,b,499.48,0.549
746,HIP 109600,b,232.08,0.163
747,HIP 116454,b,9.1205,0.2
748,HIP 12961,b,57.435,0.17
749,HIP 14810,b,6.67386,0.14
750,HIP 14810,c,147.73,0.164
751,HIP 14810,d,952,0.173
757,HIP 5158,b,345.72,0.52
758,HIP 5158,c,9017.76,0.14
759,HIP 57274,b,8.1352,0.19
760,HIP 57274,c,32.03,0.05
761,HIP 57274,d,431.7,0.27
762,HIP 63242,b,124.6,0.23
763,HIP 65407,b,28.125,0.14
764,HIP 65407,c,67.3,0.12
766,HIP 65891,b,1084.5,0.13
767,HIP 67537,b,2556.5,0.59
768,HIP 67851,b,88.9,0.05
769,HIP 67851,c,2131.8,0.17
770,HIP 70849,b,17337.5,0.715
771,HIP 74890,b,822.3,0.07
772,HIP 75458,b,511.098,0.7124
774,HIP 79431,b,111.7,0.29
775,HIP 8541,b,1560.2,0.16
776,HIP 91258,b,5.0505,0.02
777,HIP 97233,b,1058.8,0.61
780,HR 810,b,302.79999,0.14
785,K2-10,b,19.3044,0.31
786,K2-100,b,1.673916,0.24
787,K2-101,b,14.677286,0.1
788,K2-102,b,9.915615,0.1
789,K2-104,b,1.974238,0.09
791,K2-106,b,0.571292,0
792,K2-106,c,13.3397,0.18
793,K2-107,b,3.31392,0
794,K2-108,b,4.73401,0.18
796,K2-110,b,13.86375,0.079
797,K2-111,b,5.35117,0
798,K2-113,b,5.817608,0
799,K2-114,b,11.39109,0
800,K2-115,b,20.273034,0.137
801,K2-116,b,4.655411,0.06
802,K2-117,b,1.291505,0.06
803,K2-117,c,5.44482,0.15
804,K2-118,b,50.92092,0.2
805,K2-119,b,7.728578,0.07
807,K2-120,b,9.562742,0.14
